Round,FedMH
1,0.0067226890756302525
2,0.006920415224913495
3,0.008403361344537816
4,0.008714596949891067
5,0.005347593582887701
6,0.0058823529411764705
7,0.0065359477124183
8,0.004705882352941177
9,0.004705882352941177
10,0.019607843137254905
11,0.014705882352941176
12,0.01384083044982699
13,0.013445378151260505
14,0.024767801857585137
15,0.024767801857585137
16,0.024767801857585137
17,0.024767801857585137
18,0.024767801857585137
19,0.05959246443675509
20,0.09361163820366857
21,0.17132897603485842
22,0.1971627360621668
23,0.26666666666666666
24,0.22459893048128346
25,0.24019607843137258
26,0.24019607843137258
27,0.24019607843137258
28,0.24019607843137258
29,0.24019607843137258
30,0.24019607843137258
31,0.24019607843137258
32,0.24019607843137258
33,0.24019607843137258
34,0.24019607843137258
35,0.24019607843137258
36,0.24019607843137258
37,0.24019607843137258
38,0.24019607843137258
39,0.24019607843137258
40,0.24019607843137258
