Round,GAT_FedMH,GAT_FedMH_incremental,GAT_FedAvg,GAT_FedAvg_incremental,GAT_FedSem_FT,GAT_FedSem_FT_incremental,GAT_FedMatch_FT,GAT_FedMatch_FT_incremental,GAT_FLwF,GAT_FLwF_incremental
1,0.2401960784313725,0.3333333333333333,0.2401960784313725,0.3333333333333333,0.1713289760348584,0.3333333333333333,0.2401960784313725,0.3333333333333333,0.2401960784313725,0.3333333333333333
2,0.2401960784313725,0.3333333333333333,0.2401960784313725,0.3333333333333333,0.2843137254901961,0.4,0.2401960784313725,0.3333333333333333,0.2401960784313725,0.3333333333333333
3,0.4087938205585265,0.3333333333333333,0.3973856209150327,0.3333333333333333,0.2379084967320262,0.3333333333333333,0.5147058823529411,0.3333333333333333,0.3514797223237121,0.3333333333333333
4,0.4087938205585265,0.3333333333333333,0.5384182381086405,0.3333333333333333,0.3273001508295626,0.3333333333333333,0.4594091030077188,0.3333333333333333,0.5412670844974703,0.3333333333333333
5,0.4598930481283421,0.3333333333333333,0.5921756262313538,0.3333333333333333,0.3094228286926056,0.3333333333333333,0.5870469399881164,0.3333333333333333,0.5981469510881275,0.3333333333333333
6,0.5288228750899693,0.3333333333333333,0.6640057580318001,0.3333333333333333,0.3585585585585585,0.3333333333333333,0.6406707479371839,0.3333333333333333,0.673202614379085,0.3333333333333333
7,0.6381461675579322,0.3333333333333333,0.6640057580318001,0.3333333333333333,0.3513538748832867,0.3333333333333333,0.6682352941176471,0.3333333333333333,0.673202614379085,0.3333333333333333
8,0.6682352941176471,0.3333333333333333,0.6640057580318001,0.3333333333333333,0.3856209150326797,0.3333333333333333,0.6682352941176471,0.3333333333333333,0.673202614379085,0.3333333333333333
9,0.6682352941176471,0.3333333333333333,0.6640057580318001,0.3333333333333333,0.4669301849829233,0.3333333333333333,0.673202614379085,0.3333333333333333,0.673202614379085,0.3333333333333333
10,0.673202614379085,0.3333333333333333,0.6640057580318001,0.3333333333333333,0.5736072206660443,0.3333333333333333,0.673202614379085,0.3333333333333333,0.7215686274509805,0.3333333333333333
11,0.673202614379085,0.1,0.6640057580318001,0.3333333333333333,0.5832579185520361,0.0,0.673202614379085,0.1,0.7215686274509805,0.125
12,0.673202614379085,0.1,0.6764029749830968,0.3333333333333333,0.4243203163618388,0.0,0.673202614379085,0.1,0.778316032295271,0.1
13,0.6648922012243811,0.1,0.6640057580318001,0.3333333333333333,0.7168396770472896,0.0,0.6823529411764707,0.1,0.7744741532976827,0.125
14,0.6628151260504201,0.1,0.6628151260504201,1.0,0.7103641456582633,0.0,0.6823529411764707,0.1,0.8228969006957622,0.375
15,0.2401960784313725,0.1,0.7260504201680672,0.3333333333333333,0.7410611303344867,0.0,0.6920415224913495,0.1,0.8211764705882353,0.375
16,0.2401960784313725,0.1,0.6764029749830968,1.0,0.7137254901960784,0.0,0.784313725490196,0.1,0.8171826149814765,0.6666666666666666
17,0.2401960784313725,0.1,0.7288708586883029,0.6666666666666666,0.7137254901960784,0.0,0.8246247464503043,0.1,0.7934851359898798,0.6666666666666666
18,0.2401960784313725,0.1,0.7260504201680672,1.0,0.7378151260504201,0.0,0.8287581699346405,0.1,0.7860644257703082,0.41666666666666663
19,0.2401960784313725,0.1,0.784313725490196,1.0,0.7378151260504201,0.1666666666666666,0.8246247464503043,0.1,0.8246247464503043,0.6666666666666666
20,0.2401960784313725,0.1,0.8146782223861332,0.6666666666666666,0.7741176470588236,0.1666666666666666,0.784313725490196,0.1,0.8563894523326573,0.125
21,0.2401960784313725,1.0,0.784313725490196,1.0,0.7378151260504201,1.0,0.8603110209601083,1.0,0.75426944971537,1.0
