Round,GCN_FedMH,GCN_FedMH_incremental,GCN_FedAvg,GCN_FedAvg_incremental,GCN_FedSem_FT,GCN_FedSem_FT_incremental,GCN_FedMatch_FT,GCN_FedMatch_FT_incremental,GCN_FLwF,GCN_FLwF_incremental
1,0.2327365728900255,0.3333333333333333,0.2401960784313725,0.3333333333333333,0.1236440603227797,0.3333333333333333,0.2401960784313725,0.3333333333333333,0.2401960784313725,0.3333333333333333
2,0.2401960784313725,0.3333333333333333,0.2401960784313725,0.3333333333333333,0.2666666666666666,0.3333333333333333,0.2401960784313725,0.3333333333333333,0.2401960784313725,0.3333333333333333
3,0.2401960784313725,0.3333333333333333,0.2401960784313725,0.3333333333333333,0.2327365728900255,0.3333333333333333,0.4869281045751634,0.3333333333333333,0.2996052758255511,0.3333333333333333
4,0.4847058823529412,0.3333333333333333,0.2401960784313725,0.3333333333333333,0.4718266253869969,0.3333333333333333,0.5107798775618846,0.3333333333333333,0.5348724683763045,0.3333333333333333
5,0.5351890756302522,0.3333333333333333,0.5600900647340277,0.3333333333333333,0.2690311418685121,0.3333333333333333,0.5599685925538179,0.3333333333333333,0.4100759921193357,0.3333333333333333
6,0.6370798319327731,0.3333333333333333,0.6648922012243811,0.3333333333333333,0.4088669950738917,0.3333333333333333,0.5843137254901961,0.3333333333333333,0.6370798319327731,0.3333333333333333
7,0.6628151260504201,0.3333333333333333,0.6631016042780749,0.3333333333333333,0.5434173669467787,0.3333333333333333,0.6370798319327731,0.3333333333333333,0.6370798319327731,0.3333333333333333
8,0.6628151260504201,0.3333333333333333,0.6631016042780749,0.3333333333333333,0.52447428246661,0.3333333333333333,0.6648922012243811,0.3333333333333333,0.6631016042780749,0.3333333333333333
9,0.6628151260504201,0.3333333333333333,0.6648922012243811,0.3333333333333333,0.5981469510881275,0.3333333333333333,0.6648922012243811,0.3333333333333333,0.6631016042780749,0.3333333333333333
10,0.6628151260504201,0.3333333333333333,0.6751679692856163,0.3333333333333333,0.6608097784568373,0.3333333333333333,0.6648922012243811,0.3333333333333333,0.6631016042780749,0.3333333333333333
