Round,GCN_FedMH,GCN_FedMH_incremental,GCN_FedAvg,GCN_FedAvg_incremental,GCN_FedSem_FT,GCN_FedSem_FT_incremental,GCN_FedMatch_FT,GCN_FedMatch_FT_incremental,GCN_FLwF,GCN_FLwF_incremental
1,0.5873983739837398,0.6124401913875599,0.5873983739837398,0.6124401913875599,0.1317204301075268,0.6742424242424243,0.5092476489028214,0.8246860933428096,0.5873983739837398,0.8246860933428096
2,0.5873983739837398,0.6124401913875599,0.4425925925925926,0.6124401913875599,0.7607142857142858,0.6742424242424243,0.5092476489028214,0.8246860933428096,0.5873983739837398,0.8246860933428096
3,0.5873983739837398,0.6124401913875599,0.4799177735610373,0.6124401913875599,0.7012820512820513,0.6742424242424243,0.5348011363636364,0.8246860933428096,0.5873983739837398,0.8246860933428096
4,0.5666666666666667,0.6124401913875599,0.4416666666666666,0.6124401913875599,0.736111111111111,0.6742424242424243,0.5821721774497252,0.8246860933428096,0.5873983739837398,0.8246860933428096
5,0.5666666666666667,0.6124401913875599,0.513986013986014,0.6124401913875599,0.736111111111111,0.6742424242424243,0.5821721774497252,0.8246860933428096,0.5873983739837398,0.8246860933428096
6,0.5666666666666667,0.6124401913875599,0.548840579710145,0.6124401913875599,0.736111111111111,0.6742424242424243,0.6042138712351479,0.8246860933428096,0.5873983739837398,0.8246860933428096
7,0.5666666666666667,0.6124401913875599,0.513986013986014,0.6124401913875599,0.6666666666666666,0.6742424242424243,0.6252886002886002,0.8246860933428096,0.5666666666666667,0.8246860933428096
8,0.5448717948717949,0.6124401913875599,0.513986013986014,0.6124401913875599,0.6770833333333334,0.6742424242424243,0.6454801760557156,0.8246860933428096,0.5666666666666667,0.8246860933428096
9,0.5448717948717949,0.6124401913875599,0.513986013986014,0.5896805896805897,0.7012820512820513,0.6742424242424243,0.6454801760557156,0.8246860933428096,0.5666666666666667,0.8246860933428096
10,0.5448717948717949,0.6124401913875599,0.5586419753086421,0.5896805896805897,0.7199557242251738,0.6742424242424243,0.6454801760557156,0.8578175787728026,0.5666666666666667,0.8246860933428096
11,0.7364341085271319,0.8004434589800443,0.7575757575757575,0.8886363636363637,0.7142857142857144,0.8181818181818182,0.587022583328002,0.7193783150363883,0.7575757575757575,0.7193783150363883
12,0.7575757575757575,0.8004434589800443,0.7575757575757575,0.8886363636363637,0.5855855855855856,0.8181818181818182,0.5675716900549115,0.7193783150363883,0.7575757575757575,0.7193783150363883
13,0.7575757575757575,0.8004434589800443,0.7575757575757575,0.8886363636363637,0.641025641025641,0.7858897858897861,0.5675716900549115,0.7193783150363883,0.7575757575757575,0.753091684434968
14,0.7575757575757575,0.8004434589800443,0.7575757575757575,0.8886363636363637,0.5855855855855856,0.7537878787878788,0.5675716900549115,0.753091684434968,0.7575757575757575,0.753091684434968
15,0.7575757575757575,0.8004434589800443,0.7575757575757575,0.9505827505827504,0.641025641025641,0.7537878787878788,0.5675716900549115,0.7832100004180776,0.7575757575757575,0.7832100004180776
