Batch,GCN_FedMH_incremental,GCN_FedAvg_incremental,GCN_FedSem_FT_incremental,GCN_FedMatch_FT_incremental,GCN_FLwF_incremental
1,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333
2,0.2045454545454545,0.3333333333333333,0.0,0.2045454545454545,0.4895833333333332
3,0.4298245614035088,0.4298245614035088,0.4298245614035088,0.4298245614035088,0.4298245614035088
4,0.4049999999999999,0.2946428571428571,0.2946428571428571,0.4049999999999999,0.2946428571428571
5,0.3333333333333333,0.2062937062937063,0.1286713286713286,0.3333333333333333,0.1604743083003952
6,0.3333333333333333,0.1263057929724596,0.3668478260869565,0.3333333333333333,0.0476190476190476
7,0.2944250871080139,0.1,0.0909090909090909,0.2944250871080139,0.1
8,0.2992021276595745,0.2992021276595745,0.3016183035714285,0.2992021276595745,0.4285714285714286
