Round,GCN_FedMH,GCN_FedMH_incremental,GCN_FedAvg,GCN_FedAvg_incremental,GCN_FedSem_FT,GCN_FedSem_FT_incremental,GCN_FedMatch_FT,GCN_FedMatch_FT_incremental,GCN_FLwF,GCN_FLwF_incremental
1,0.2401960784313725,0.3333333333333333,0.2401960784313725,0.3543643263757117,0.2401960784313725,0.4453551912568306,0.2401960784313725,0.3224974200206398,0.2401960784313725,0.4223615129111754
2,0.2401960784313725,0.3333333333333333,0.2401960784313725,0.5198000768935025,0.2970588235294118,0.4794010500375013,0.2401960784313725,0.3224974200206398,0.2401960784313725,0.43349627432672405
3,0.4509803921568628,0.3333333333333333,0.4794117647058822,0.6584775086505191,0.2580986181378841,0.4968572543239846,0.2401960784313725,0.3224974200206398,0.3973856209150327,0.5325077399380804
4,0.4385026737967914,0.3333333333333333,0.4037165477982072,0.6799105607155144,0.2745098039215686,0.5238095238095237,0.5098039215686274,0.3224974200206398,0.5600900647340277,0.47101095828049294
5,0.5412670844974703,0.3333333333333333,0.56215065211605,0.7044080790210822,0.2580986181378841,0.5234441602728047,0.6399999999999999,0.3224974200206398,0.6143790849673203,0.5474394886159591
6,0.6682352941176471,0.3333333333333333,0.5870469399881164,0.7038144824784904,0.2904964995574153,0.5194416749750748,0.6648922012243811,0.3224974200206398,0.585618006935811,0.5986132157781145
7,0.6682352941176471,0.3333333333333333,0.6682352941176471,0.7038144824784904,0.2745098039215686,0.5464519140989729,0.6648922012243811,0.3224974200206398,0.6648922012243811,0.6726006191950464
8,0.6648922012243811,0.3333333333333333,0.6682352941176471,0.7441728052382478,0.2904964995574153,0.5925880155983962,0.6648922012243811,0.3224974200206398,0.6631016042780749,0.6553476123740662
9,0.6682352941176471,0.3333333333333333,0.6682352941176471,0.7450654070656763,0.2904964995574153,0.60832304949952,0.6648922012243811,0.3224974200206398,0.6631016042780749,0.6837069289899478
10,0.673202614379085,0.3333333333333333,0.6682352941176471,0.7450654070656763,0.2904964995574153,0.6344804445842508,0.7143836555601261,0.3224974200206398,0.6648922012243811,0.6947858250805393
11,0.6823529411764707,0.1,0.6682352941176471,0.7639202313491467,0.3382352941176471,0.5438564140389698,0.7143836555601261,0.3224974200206398,0.6648922012243811,0.7610201975527053
